"Model","Effect_Type","Effect_Name","Mean","SD","Lower_CI_0.025","Upper_CI_0.975","Median","Mode"
"cit_0","Fixed","temp_indoor",0.972650180929992,0.00433307103662827,0.964149345777686,0.981151015842803,0.972650180971983,0.972650180971978
"cit_0","Random","Precision for the Gaussian observations",0.135730612735151,0.0092410725872843,0.11822982685978,0.154445068898354,0.135518855059426,0.135077836180942
"avg_sat_0","Fixed","satelite_outdoor_temp",1.12954044535011,0.00449619314670529,1.12071958485574,1.1383613055448,1.12954044540265,1.12954044540265
"avg_sat_0","Random","Precision for the Gaussian observations",0.169760056669994,0.0115620737826806,0.147865514055665,0.193163915374631,0.169499381375479,0.168983725618847
"min_sat_0","Fixed","sat_temp_min",1.25453412289296,0.0050426133486117,1.24464126656321,1.2644269788043,1.25453412296634,1.25453412296636
"min_sat_0","Random","Precision for the Gaussian observations",0.166583894604967,0.0113452360915298,0.145098870317965,0.189549204808915,0.166326270132162,0.165796348380564
"max_sat_0","Fixed","sat_temp_max",0.987582016090248,0.00438099544955745,0.978987158693352,0.996176873238187,0.987582016133886,0.987582016133863
"max_sat_0","Random","Precision for the Gaussian observations",0.136789221397695,0.00931603039839556,0.119147435911268,0.155643176408821,0.136579194725068,0.136163799069169
